0 (0 - 9999):  rho_t = 0.011805,  held-out perplexity estimate = 	 22511849.104318
1 (10000 - 19999):  rho_t = 0.011768,  held-out perplexity estimate = 	 21350862.995932
2 (20000 - 29999):  rho_t = 0.011732,  held-out perplexity estimate = 	 17243369.473122
3 (30000 - 39999):  rho_t = 0.011696,  held-out perplexity estimate = 	 14004552.483789
4 (40000 - 49999):  rho_t = 0.011660,  held-out perplexity estimate = 	 11776474.474271
5 (50000 - 59999):  rho_t = 0.011624,  held-out perplexity estimate = 	 12209164.404179
6 (60000 - 69999):  rho_t = 0.011589,  held-out perplexity estimate = 	 9949170.297097
7 (70000 - 79999):  rho_t = 0.011554,  held-out perplexity estimate = 	 10725800.805469
8 (80000 - 89999):  rho_t = 0.011519,  held-out perplexity estimate = 	 9817794.167026
9 (90000 - 99999):  rho_t = 0.011484,  held-out perplexity estimate = 	 13170083.520333
10 (100000 - 109999):  rho_t = 0.011450,  held-out perplexity estimate = 	 10455148.479522
11 (110000 - 119999):  rho_t = 0.011415,  held-out perplexity estimate = 	 7048933.659785
12 (120000 - 129999):  rho_t = 0.011381,  held-out perplexity estimate = 	 7584693.758088
13 (130000 - 139999):  rho_t = 0.011348,  held-out perplexity estimate = 	 7573175.738157
14 (140000 - 149999):  rho_t = 0.011314,  held-out perplexity estimate = 	 6319071.150465
15 (150000 - 159999):  rho_t = 0.011281,  held-out perplexity estimate = 	 6874960.148065
16 (160000 - 169999):  rho_t = 0.011248,  held-out perplexity estimate = 	 6538537.539627
17 (170000 - 179999):  rho_t = 0.011215,  held-out perplexity estimate = 	 5661988.011475
18 (180000 - 189999):  rho_t = 0.011182,  held-out perplexity estimate = 	 6004411.543255
19 (190000 - 199999):  rho_t = 0.011150,  held-out perplexity estimate = 	 5719798.014763
20 (200000 - 209999):  rho_t = 0.011118,  held-out perplexity estimate = 	 5653367.678580
21 (210000 - 219999):  rho_t = 0.011086,  held-out perplexity estimate = 	 5211183.508545
22 (220000 - 229999):  rho_t = 0.011054,  held-out perplexity estimate = 	 5049452.608915
23 (230000 - 239999):  rho_t = 0.011022,  held-out perplexity estimate = 	 5323711.096948
24 (240000 - 249999):  rho_t = 0.010991,  held-out perplexity estimate = 	 5007186.424415
25 (250000 - 259999):  rho_t = 0.010960,  held-out perplexity estimate = 	 5016778.280558
26 (260000 - 269999):  rho_t = 0.010929,  held-out perplexity estimate = 	 4283633.258127
27 (270000 - 279999):  rho_t = 0.010898,  held-out perplexity estimate = 	 4205775.873223
28 (280000 - 289999):  rho_t = 0.010867,  held-out perplexity estimate = 	 4013329.851407
29 (290000 - 299999):  rho_t = 0.010837,  held-out perplexity estimate = 	 4195677.985400
30 (300000 - 309999):  rho_t = 0.010807,  held-out perplexity estimate = 	 4065512.799599
31 (310000 - 319999):  rho_t = 0.010777,  held-out perplexity estimate = 	 3856537.638100
 KL divergence = 3923.145432
